Acc	AttrName	AttrVal
SAMD00065375	sample_name	Sphere cell with serum
SAMD00065375	disease	Cancer
SAMD00065374	sample_name	Sphere cell
SAMD00065374	disease	Cancer
SAMD00065373	sample_name	myometria infiltration side human endometrioid adenocarcinoma with squamous differentiation tissue
SAMD00065373	disease	Cancer
SAMD00065372	sample_name	endometria side human endometrioid adenocarcinoma with squamous differentiation tissue
SAMD00065372	disease	Cancer
SAMD00083337	sample_name	SAEC [TSS-seq]
SAMD00083337	age	66
SAMD00083337	biomaterial_provider	TAKARA (Lonza)
SAMD00083337	cell_line	SAEC
SAMD00083337	cell_type	Small airway epithelial cells
SAMD00083337	disease	Normal
SAMD00083337	tissue_type	lung
SAMD00083336	sample_name	H2347 [TSS-seq]
SAMD00083336	age	54
SAMD00083336	biomaterial_provider	ATCC
SAMD00083336	cell_line	H2347
SAMD00083336	cell_type	Lung adenocarcinoma
SAMD00083336	disease	lung adenocarcinoma
SAMD00083336	label	CRL-5942
SAMD00083336	sex	female
SAMD00083336	tissue_type	lung
SAMD00083335	sample_name	H2126 [TSS-seq]
SAMD00083335	age	65
SAMD00083335	biomaterial_provider	ATCC
SAMD00083335	cell_line	H2126
SAMD00083335	cell_type	Lung adenocarcinoma
SAMD00083335	disease	lung adenocarcinoma
SAMD00083335	label	CCL-256
SAMD00083335	sex	male
SAMD00083335	tissue_type	lung
SAMD00083333	sample_name	H1819 [TSS-seq]
SAMD00083333	age	55
SAMD00083333	biomaterial_provider	ATCC
SAMD00083333	cell_line	H1819
SAMD00083333	cell_type	Lung adenocarcinoma
SAMD00083333	disease	lung adenocarcinoma
SAMD00083333	label	CRL-5897
SAMD00083333	sex	female
SAMD00083333	tissue_type	lung
SAMD00083332	sample_name	H1703 [TSS-seq]
SAMD00083332	age	54
SAMD00083332	biomaterial_provider	ATCC
SAMD00083332	cell_line	H1703
SAMD00083332	cell_type	Lung adenocarcinoma
SAMD00083332	disease	lung adenocarcinoma
SAMD00083332	label	CRL-5889
SAMD00083332	sex	male
SAMD00083332	tissue_type	lung
SAMD00083331	sample_name	H1650 [TSS-seq]
SAMD00083331	age	27
SAMD00083331	biomaterial_provider	ATCC
SAMD00083331	cell_line	H1650
SAMD00083331	cell_type	Lung adenocarcinoma
SAMD00083331	disease	lung adenocarcinoma
SAMD00083331	label	CRL-5883
SAMD00083331	sex	male
SAMD00083331	tissue_type	lung
SAMD00083330	sample_name	H1648 [TSS-seq]
SAMD00083330	age	39
SAMD00083330	biomaterial_provider	ATCC
SAMD00083330	cell_line	H1648
SAMD00083330	cell_type	Lung adenocarcinoma
SAMD00083330	disease	lung adenocarcinoma
SAMD00083330	label	CRL-5882
